"total env step","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-33-38_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","12-32-02_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MIN","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - _step__MAX","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","05-18-26_halfcheetah-medium-v2_dipo_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MIN","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - _step__MAX","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MIN","23-44-59_halfcheetah-medium-v2_clone_diffusion_mlp_ta4_td20 - avg episode reward - train__MAX","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-53_halfcheetah-medium-v2_vpg_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-46_halfcheetah-medium-v2_ppo_ddim_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MIN","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - _step__MAX","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MIN","23-44-40_halfcheetah-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10 - avg episode reward - train__MAX"
"6800000","94","94","94","4020.2986582585136","4020.2986582585136","4020.2986582585136","94","94","94","3927.7269964328793","3927.7269964328793","3927.7269964328793","94","94","94","4016.9088630909346","4016.9088630909346","4016.9088630909346","94","94","94","3977.048106840197","3977.048106840197","3977.048106840197","94","94","94","4362.276380525678","4362.276380525678","4362.276380525678","94","94","94","3980.4585294110134","3980.4585294110134","3980.4585294110134","94","94","94","4334.075845982002","4334.075845982002","4334.075845982002"
"6880000","95","95","95","4008.0552212913753","4008.0552212913753","4008.0552212913753","95","95","95","3981.6284354857344","3981.6284354857344","3981.6284354857344","95","95","95","4008.1130055361805","4008.1130055361805","4008.1130055361805","95","95","95","4047.647133937318","4047.647133937318","4047.647133937318","95","95","95","4266.558403616036","4266.558403616036","4266.558403616036","95","95","95","4085.0787461453306","4085.0787461453306","4085.0787461453306","95","95","95","4397.462838203222","4397.462838203222","4397.462838203222"
"6960000","96","96","96","4075.2763149965276","4075.2763149965276","4075.2763149965276","96","96","96","4017.9576470855986","4017.9576470855986","4017.9576470855986","96","96","96","4003.309796707007","4003.309796707007","4003.309796707007","96","96","96","3981.0032689013788","3981.0032689013788","3981.0032689013788","96","96","96","4326.212945412479","4326.212945412479","4326.212945412479","96","96","96","4027.0721712342856","4027.0721712342856","4027.0721712342856","96","96","96","4405.800407911004","4405.800407911004","4405.800407911004"
"7040000","97","97","97","4007.5589169812797","4007.5589169812797","4007.5589169812797","97","97","97","3938.2618191222814","3938.2618191222814","3938.2618191222814","97","97","97","4085.1326562810727","4085.1326562810727","4085.1326562810727","97","97","97","3939.145856587762","3939.145856587762","3939.145856587762","97","97","97","4367.426568202916","4367.426568202916","4367.426568202916","97","97","97","4079.5704453450553","4079.5704453450553","4079.5704453450553","97","97","97","4348.24772051126","4348.24772051126","4348.24772051126"
"7120000","98","98","98","4002.026815250134","4002.026815250134","4002.026815250134","98","98","98","4029.925268547886","4029.925268547886","4029.925268547886","98","98","98","4021.9435677465167","4021.9435677465167","4021.9435677465167","98","98","98","3843.9825898207287","3843.9825898207287","3843.9825898207287","98","98","98","4271.588836994653","4271.588836994653","4271.588836994653","98","98","98","4103.59705465017","4103.59705465017","4103.59705465017","98","98","98","4280.480219422972","4280.480219422972","4280.480219422972"
"7200000","99","99","99","3980.482878449098","3980.482878449098","3980.482878449098","99","99","99","3984.0316527415816","3984.0316527415816","3984.0316527415816","99","99","99","4006.1382072993256","4006.1382072993256","4006.1382072993256","99","99","99","3993.7139872451653","3993.7139872451653","3993.7139872451653","99","99","99","4321.562170647004","4321.562170647004","4321.562170647004","99","99","99","4034.9372949344433","4034.9372949344433","4034.9372949344433","99","99","99","4429.035483783266","4429.035483783266","4429.035483783266"
"7280000","101","101","101","4039.6956357329123","4039.6956357329123","4039.6956357329123","101","101","101","4017.044136919861","4017.044136919861","4017.044136919861","101","101","101","4051.5385619885956","4051.5385619885956","4051.5385619885956","101","101","101","3915.589384386335","3915.589384386335","3915.589384386335","101","101","101","4316.99597547382","4316.99597547382","4316.99597547382","101","101","101","3999.876081804045","3999.876081804045","3999.876081804045","101","101","101","4336.645269927396","4336.645269927396","4336.645269927396"
"7360000","102","102","102","4000.7916442452456","4000.7916442452456","4000.7916442452456","102","102","102","4017.175469393308","4017.175469393308","4017.175469393308","102","102","102","4048.179683249916","4048.179683249916","4048.179683249916","102","102","102","3951.4359612928906","3951.4359612928906","3951.4359612928906","102","102","102","4295.931236447231","4295.931236447231","4295.931236447231","102","102","102","4071.2751967796708","4071.2751967796708","4071.2751967796708","102","102","102","4451.882733623347","4451.882733623347","4451.882733623347"
"7440000","103","103","103","4059.1999654836072","4059.1999654836072","4059.1999654836072","103","103","103","3901.6604076228323","3901.6604076228323","3901.6604076228323","103","103","103","4100.262820424564","4100.262820424564","4100.262820424564","103","103","103","3910.076825037322","3910.076825037322","3910.076825037322","103","103","103","4281.752628793785","4281.752628793785","4281.752628793785","103","103","103","4118.406608174289","4118.406608174289","4118.406608174289","103","103","103","4404.287644270996","4404.287644270996","4404.287644270996"
"7520000","104","104","104","4033.370738468396","4033.370738468396","4033.370738468396","104","104","104","4060.403123543024","4060.403123543024","4060.403123543024","104","104","104","4036.7437245434385","4036.7437245434385","4036.7437245434385","104","104","104","3972.8681227102097","3972.8681227102097","3972.8681227102097","104","104","104","4314.902357546458","4314.902357546458","4314.902357546458","104","104","104","4069.2471139042705","4069.2471139042705","4069.2471139042705","104","104","104","4440.046573101722","4440.046573101722","4440.046573101722"
"7600000","105","105","105","4070.774018030503","4070.774018030503","4070.774018030503","105","105","105","3960.152030141745","3960.152030141745","3960.152030141745","105","105","105","3980.240675023847","3980.240675023847","3980.240675023847","105","105","105","3991.6041894521636","3991.6041894521636","3991.6041894521636","105","105","105","4288.926449088076","4288.926449088076","4288.926449088076","105","105","105","3981.5116820029557","3981.5116820029557","3981.5116820029557","105","105","105","4419.328845278839","4419.328845278839","4419.328845278839"
"7680000","106","106","106","4024.047902542747","4024.047902542747","4024.047902542747","106","106","106","3967.7623658141965","3967.7623658141965","3967.7623658141965","106","106","106","4021.2326737172652","4021.2326737172652","4021.2326737172652","106","106","106","3993.4383541448515","3993.4383541448515","3993.4383541448515","106","106","106","4277.561628392517","4277.561628392517","4277.561628392517","106","106","106","4045.7905653699795","4045.7905653699795","4045.7905653699795","106","106","106","4376.33436299318","4376.33436299318","4376.33436299318"
"7760000","107","107","107","3980.99195600495","3980.99195600495","3980.99195600495","107","107","107","3941.3370704161484","3941.3370704161484","3941.3370704161484","107","107","107","3929.8527197466997","3929.8527197466997","3929.8527197466997","107","107","107","3941.126837175255","3941.126837175255","3941.126837175255","107","107","107","4332.674622474525","4332.674622474525","4332.674622474525","107","107","107","4096.4007077962215","4096.4007077962215","4096.4007077962215","107","107","107","4372.810047024699","4372.810047024699","4372.810047024699"
"7840000","108","108","108","3934.4197349766036","3934.4197349766036","3934.4197349766036","108","108","108","3925.6312587415","3925.6312587415","3925.6312587415","108","108","108","4070.8190587618324","4070.8190587618324","4070.8190587618324","108","108","108","4021.338416219916","4021.338416219916","4021.338416219916","108","108","108","4310.601364345745","4310.601364345745","4310.601364345745","108","108","108","4070.5375034791987","4070.5375034791987","4070.5375034791987","108","108","108","4301.7191012056155","4301.7191012056155","4301.7191012056155"
"7920000","109","109","109","3963.2197149850317","3963.2197149850317","3963.2197149850317","109","109","109","4056.502619141247","4056.502619141247","4056.502619141247","109","109","109","4036.991300418819","4036.991300418819","4036.991300418819","109","109","109","3957.361367922697","3957.361367922697","3957.361367922697","109","109","109","4299.518866166026","4299.518866166026","4299.518866166026","109","109","109","4134.745191340173","4134.745191340173","4134.745191340173","109","109","109","4407.642507441257","4407.642507441257","4407.642507441257"
"8000000","111","111","111","4084.6473199405564","4084.6473199405564","4084.6473199405564","111","111","111","4004.9758818308596","4004.9758818308596","4004.9758818308596","111","111","111","3984.739254508035","3984.739254508035","3984.739254508035","111","111","111","3989.024293446727","3989.024293446727","3989.024293446727","111","111","111","4374.416094186849","4374.416094186849","4374.416094186849","111","111","111","4143.577374944331","4143.577374944331","4143.577374944331","111","111","111","4433.167213735915","4433.167213735915","4433.167213735915"
"8080000","112","112","112","4000.017300069082","4000.017300069082","4000.017300069082","112","112","112","3902.8202237386204","3902.8202237386204","3902.8202237386204","112","112","112","3960.0269415459798","3960.0269415459798","3960.0269415459798","112","112","112","3967.714005464549","3967.714005464549","3967.714005464549","112","112","112","4305.537401701681","4305.537401701681","4305.537401701681","112","112","112","4147.362461153853","4147.362461153853","4147.362461153853","112","112","112","4459.275780545648","4459.275780545648","4459.275780545648"
"8160000","113","113","113","3966.199158581051","3966.199158581051","3966.199158581051","113","113","113","4049.313158933381","4049.313158933381","4049.313158933381","113","113","113","4003.1164204444117","4003.1164204444117","4003.1164204444117","113","113","113","3928.724402810099","3928.724402810099","3928.724402810099","113","113","113","4304.449520994895","4304.449520994895","4304.449520994895","113","113","113","4179.908849189977","4179.908849189977","4179.908849189977","113","113","113","4458.189341940191","4458.189341940191","4458.189341940191"
"8240000","114","114","114","4008.5434746507044","4008.5434746507044","4008.5434746507044","114","114","114","3945.0237430070642","3945.0237430070642","3945.0237430070642","114","114","114","3970.5450584747246","3970.5450584747246","3970.5450584747246","114","114","114","3945.664097676073","3945.664097676073","3945.664097676073","114","114","114","4360.451593212574","4360.451593212574","4360.451593212574","114","114","114","4092.473719965966","4092.473719965966","4092.473719965966","114","114","114","4432.8442250250955","4432.8442250250955","4432.8442250250955"
"8320000","115","115","115","4079.4321207609514","4079.4321207609514","4079.4321207609514","115","115","115","4002.380685331439","4002.380685331439","4002.380685331439","115","115","115","3956.529430597814","3956.529430597814","3956.529430597814","115","115","115","3903.4692579335533","3903.4692579335533","3903.4692579335533","115","115","115","4377.449837080586","4377.449837080586","4377.449837080586","115","115","115","4127.6334326420565","4127.6334326420565","4127.6334326420565","115","115","115","4424.751052851158","4424.751052851158","4424.751052851158"
"8400000","116","116","116","4005.4512545262696","4005.4512545262696","4005.4512545262696","116","116","116","3975.1098406448828","3975.1098406448828","3975.1098406448828","116","116","116","3998.176535271664","3998.176535271664","3998.176535271664","116","116","116","3917.7552258436235","3917.7552258436235","3917.7552258436235","116","116","116","4302.630980534653","4302.630980534653","4302.630980534653","116","116","116","4027.95594582835","4027.95594582835","4027.95594582835","116","116","116","4472.839342284831","4472.839342284831","4472.839342284831"
"8480000","117","117","117","4037.5175152386255","4037.5175152386255","4037.5175152386255","117","117","117","3852.3800003303595","3852.3800003303595","3852.3800003303595","117","117","117","4059.3327689820785","4059.3327689820785","4059.3327689820785","117","117","117","3988.7596194354746","3988.7596194354746","3988.7596194354746","117","117","117","4338.468550168566","4338.468550168566","4338.468550168566","117","117","117","4064.8888091806607","4064.8888091806607","4064.8888091806607","117","117","117","4416.6219672333655","4416.6219672333655","4416.6219672333655"
"8560000","118","118","118","3939.24813271058","3939.24813271058","3939.24813271058","118","118","118","4034.0361256686274","4034.0361256686274","4034.0361256686274","118","118","118","3961.788200926311","3961.788200926311","3961.788200926311","118","118","118","4015.2429039322114","4015.2429039322114","4015.2429039322114","118","118","118","4359.41395061628","4359.41395061628","4359.41395061628","118","118","118","4026.51985726076","4026.51985726076","4026.51985726076","118","118","118","4453.1830365304895","4453.1830365304895","4453.1830365304895"
"8640000","119","119","119","4050.2911698665766","4050.2911698665766","4050.2911698665766","119","119","119","3937.052818536287","3937.052818536287","3937.052818536287","119","119","119","4100.448744787607","4100.448744787607","4100.448744787607","119","119","119","3952.1356388391264","3952.1356388391264","3952.1356388391264","119","119","119","4320.35021862846","4320.35021862846","4320.35021862846","119","119","119","4073.153822087591","4073.153822087591","4073.153822087591","119","119","119","4468.9758825078825","4468.9758825078825","4468.9758825078825"
"8720000","121","121","121","3983.104989961488","3983.104989961488","3983.104989961488","121","121","121","4005.4406630251615","4005.4406630251615","4005.4406630251615","121","121","121","4065.498365878052","4065.498365878052","4065.498365878052","121","121","121","3859.050348874864","3859.050348874864","3859.050348874864","121","121","121","4314.444612843516","4314.444612843516","4314.444612843516","121","121","121","4042.566914341523","4042.566914341523","4042.566914341523","121","121","121","4388.094181844128","4388.094181844128","4388.094181844128"
"8800000","122","122","122","4042.1314232146906","4042.1314232146906","4042.1314232146906","122","122","122","3914.536871843696","3914.536871843696","3914.536871843696","122","122","122","4059.7772597088997","4059.7772597088997","4059.7772597088997","122","122","122","3918.5341388852453","3918.5341388852453","3918.5341388852453","122","122","122","4350.436282478719","4350.436282478719","4350.436282478719","122","122","122","4028.7042155899194","4028.7042155899194","4028.7042155899194","122","122","122","4374.174282103215","4374.174282103215","4374.174282103215"
"8880000","123","123","123","4008.919731230333","4008.919731230333","4008.919731230333","123","123","123","3934.0346887716705","3934.0346887716705","3934.0346887716705","123","123","123","3988.155366769987","3988.155366769987","3988.155366769987","123","123","123","3975.130036904894","3975.130036904894","3975.130036904894","123","123","123","4302.079046865577","4302.079046865577","4302.079046865577","123","123","123","4081.600386322054","4081.600386322054","4081.600386322054","123","123","123","4468.053290542751","4468.053290542751","4468.053290542751"
"8960000","124","124","124","3949.87079382876","3949.87079382876","3949.87079382876","124","124","124","3933.7659574060062","3933.7659574060062","3933.7659574060062","124","124","124","3991.0060912063286","3991.0060912063286","3991.0060912063286","124","124","124","3873.715456140021","3873.715456140021","3873.715456140021","124","124","124","4385.806955129395","4385.806955129395","4385.806955129395","124","124","124","4069.0739459904116","4069.0739459904116","4069.0739459904116","124","124","124","4467.1903461732645","4467.1903461732645","4467.1903461732645"
"9040000","125","125","125","3944.6978601858077","3944.6978601858077","3944.6978601858077","125","125","125","3904.3404039114625","3904.3404039114625","3904.3404039114625","125","125","125","4030.9927723574933","4030.9927723574933","4030.9927723574933","125","125","125","3973.055158855944","3973.055158855944","3973.055158855944","125","125","125","4377.5514123060975","4377.5514123060975","4377.5514123060975","125","125","125","4023.202253911405","4023.202253911405","4023.202253911405","125","125","125","4392.246779619616","4392.246779619616","4392.246779619616"
"9120000","126","126","126","4026.136368990349","4026.136368990349","4026.136368990349","126","126","126","3947.4489940822955","3947.4489940822955","3947.4489940822955","126","126","126","3909.431589175589","3909.431589175589","3909.431589175589","126","126","126","4034.7305597057593","4034.7305597057593","4034.7305597057593","126","126","126","4332.861663335554","4332.861663335554","4332.861663335554","126","126","126","4147.392655492802","4147.392655492802","4147.392655492802","126","126","126","4477.012154192094","4477.012154192094","4477.012154192094"
"9200000","127","127","127","3974.7003967670053","3974.7003967670053","3974.7003967670053","127","127","127","3990.5602473367835","3990.5602473367835","3990.5602473367835","127","127","127","3970.2779612839877","3970.2779612839877","3970.2779612839877","127","127","127","3923.6478069521227","3923.6478069521227","3923.6478069521227","127","127","127","4341.301631113563","4341.301631113563","4341.301631113563","127","127","127","4121.629095895689","4121.629095895689","4121.629095895689","127","127","127","4343.809630780937","4343.809630780937","4343.809630780937"
"9280000","128","128","128","3997.771455359205","3997.771455359205","3997.771455359205","128","128","128","3889.9575236413207","3889.9575236413207","3889.9575236413207","128","128","128","3966.0844075149894","3966.0844075149894","3966.0844075149894","128","128","128","3915.27627403922","3915.27627403922","3915.27627403922","128","128","128","4344.0279592658735","4344.0279592658735","4344.0279592658735","128","128","128","4032.963490769368","4032.963490769368","4032.963490769368","128","128","128","4494.0283408618925","4494.0283408618925","4494.0283408618925"
"9360000","129","129","129","3992.067751843272","3992.067751843272","3992.067751843272","129","129","129","3971.6261028471245","3971.6261028471245","3971.6261028471245","129","129","129","4023.6220281987216","4023.6220281987216","4023.6220281987216","129","129","129","3985.0532792042586","3985.0532792042586","3985.0532792042586","129","129","129","4378.452642094327","4378.452642094327","4378.452642094327","129","129","129","4068.6564531535064","4068.6564531535064","4068.6564531535064","129","129","129","4514.528835490356","4514.528835490356","4514.528835490356"
"9440000","131","131","131","3964.03692213908","3964.03692213908","3964.03692213908","131","131","131","3919.6855227229617","3919.6855227229617","3919.6855227229617","131","131","131","3955.157442914354","3955.157442914354","3955.157442914354","131","131","131","3895.2056841452963","3895.2056841452963","3895.2056841452963","131","131","131","4368.423470020826","4368.423470020826","4368.423470020826","131","131","131","4120.917682825499","4120.917682825499","4120.917682825499","131","131","131","4449.666996442602","4449.666996442602","4449.666996442602"
"9520000","132","132","132","4015.7726723674155","4015.7726723674155","4015.7726723674155","132","132","132","3880.584254620776","3880.584254620776","3880.584254620776","132","132","132","4073.3661497653957","4073.3661497653957","4073.3661497653957","132","132","132","3981.608710641862","3981.608710641862","3981.608710641862","132","132","132","4314.764035707337","4314.764035707337","4314.764035707337","132","132","132","4118.116459367641","4118.116459367641","4118.116459367641","132","132","132","4542.6919631749815","4542.6919631749815","4542.6919631749815"
"9600000","133","133","133","3978.6090466448863","3978.6090466448863","3978.6090466448863","133","133","133","4000.027682416071","4000.027682416071","4000.027682416071","133","133","133","4038.5687007108995","4038.5687007108995","4038.5687007108995","133","133","133","3980.6047191938123","3980.6047191938123","3980.6047191938123","133","133","133","4335.017854387634","4335.017854387634","4335.017854387634","133","133","133","4039.9637995243875","4039.9637995243875","4039.9637995243875","133","133","133","4478.6652807314695","4478.6652807314695","4478.6652807314695"
"9680000","134","134","134","3968.631026800956","3968.631026800956","3968.631026800956","134","134","134","3948.246260444977","3948.246260444977","3948.246260444977","134","134","134","3972.157498953208","3972.157498953208","3972.157498953208","134","134","134","3997.512434765994","3997.512434765994","3997.512434765994","134","134","134","4346.414819207492","4346.414819207492","4346.414819207492","134","134","134","4072.009155386848","4072.009155386848","4072.009155386848","134","134","134","4418.34456925784","4418.34456925784","4418.34456925784"
"9760000","135","135","135","3952.082722542937","3952.082722542937","3952.082722542937","135","135","135","3917.3279032259684","3917.3279032259684","3917.3279032259684","135","135","135","4000.4082133949705","4000.4082133949705","4000.4082133949705","135","135","135","3989.850294145405","3989.850294145405","3989.850294145405","135","135","135","4293.840201861477","4293.840201861477","4293.840201861477","135","135","135","3930.5129167206746","3930.5129167206746","3930.5129167206746","135","135","135","4516.963867267821","4516.963867267821","4516.963867267821"
"9840000","136","136","136","3985.341656212887","3985.341656212887","3985.341656212887","136","136","136","3915.89447847766","3915.89447847766","3915.89447847766","136","136","136","3959.4237299476836","3959.4237299476836","3959.4237299476836","136","136","136","3905.5240791477627","3905.5240791477627","3905.5240791477627","136","136","136","4368.050698693942","4368.050698693942","4368.050698693942","136","136","136","4130.99076593742","4130.99076593742","4130.99076593742","136","136","136","4438.508369160525","4438.508369160525","4438.508369160525"
"9920000","137","137","137","3992.1815612558603","3992.1815612558603","3992.1815612558603","137","137","137","3832.9813293157395","3832.9813293157395","3832.9813293157395","137","137","137","4031.6841207468447","4031.6841207468447","4031.6841207468447","137","137","137","3920.9030185529846","3920.9030185529846","3920.9030185529846","137","137","137","4338.133398164176","4338.133398164176","4338.133398164176","137","137","137","4074.1406032849504","4074.1406032849504","4074.1406032849504","137","137","137","4454.267448325636","4454.267448325636","4454.267448325636"
"10000000","138","138","138","3996.8754409491885","3996.8754409491885","3996.8754409491885","138","138","138","4016.2930374002344","4016.2930374002344","4016.2930374002344","138","138","138","4004.6427992783674","4004.6427992783674","4004.6427992783674","138","138","138","3897.938034489016","3897.938034489016","3897.938034489016","138","138","138","4267.575657459916","4267.575657459916","4267.575657459916","138","138","138","4204.835188518062","4204.835188518062","4204.835188518062","138","138","138","4534.838804583914","4534.838804583914","4534.838804583914"
"10080000","139","139","139","3993.5240734414474","3993.5240734414474","3993.5240734414474","139","139","139","4026.145765845623","4026.145765845623","4026.145765845623","139","139","139","3994.1879247780657","3994.1879247780657","3994.1879247780657","139","139","139","3929.544118816885","3929.544118816885","3929.544118816885","139","139","139","4298.432971246528","4298.432971246528","4298.432971246528","139","139","139","4126.473746060188","4126.473746060188","4126.473746060188","139","139","139","4372.21396734499","4372.21396734499","4372.21396734499"
"10160000","141","141","141","3941.363424458256","3941.363424458256","3941.363424458256","141","141","141","3918.441933144609","3918.441933144609","3918.441933144609","141","141","141","3946.107973459356","3946.107973459356","3946.107973459356","141","141","141","3882.3363906045647","3882.3363906045647","3882.3363906045647","141","141","141","4313.742421911949","4313.742421911949","4313.742421911949","141","141","141","4076.737966379455","4076.737966379455","4076.737966379455","141","141","141","4515.216961063299","4515.216961063299","4515.216961063299"
"10240000","142","142","142","3981.9845453610005","3981.9845453610005","3981.9845453610005","142","142","142","3994.8566034363007","3994.8566034363007","3994.8566034363007","142","142","142","3973.590591455686","3973.590591455686","3973.590591455686","142","142","142","3936.292403965105","3936.292403965105","3936.292403965105","142","142","142","4329.719830709592","4329.719830709592","4329.719830709592","142","142","142","4121.401324380434","4121.401324380434","4121.401324380434","142","142","142","4439.625663046026","4439.625663046026","4439.625663046026"
"10320000","143","143","143","3967.7234411766185","3967.7234411766185","3967.7234411766185","143","143","143","3865.0763498529386","3865.0763498529386","3865.0763498529386","143","143","143","4021.490764153379","4021.490764153379","4021.490764153379","143","143","143","3888.325412725912","3888.325412725912","3888.325412725912","143","143","143","4276.86394721714","4276.86394721714","4276.86394721714","143","143","143","4112.768438897102","4112.768438897102","4112.768438897102","143","143","143","4510.757221226122","4510.757221226122","4510.757221226122"
"10400000","144","144","144","3997.155559223331","3997.155559223331","3997.155559223331","144","144","144","4000.1320614790734","4000.1320614790734","4000.1320614790734","144","144","144","3994.1814565496447","3994.1814565496447","3994.1814565496447","144","144","144","3968.4374933440413","3968.4374933440413","3968.4374933440413","144","144","144","4184.655562593533","4184.655562593533","4184.655562593533","144","144","144","4123.369864563037","4123.369864563037","4123.369864563037","144","144","144","4485.960541463705","4485.960541463705","4485.960541463705"
"10480000","145","145","145","3973.2067334720764","3973.2067334720764","3973.2067334720764","145","145","145","3954.155318880699","3954.155318880699","3954.155318880699","145","145","145","3986.0380090588637","3986.0380090588637","3986.0380090588637","145","145","145","3944.8366267967626","3944.8366267967626","3944.8366267967626","145","145","145","4363.342564482116","4363.342564482116","4363.342564482116","145","145","145","4013.477984063633","4013.477984063633","4013.477984063633","145","145","145","4461.10979387902","4461.10979387902","4461.10979387902"
"10560000","146","146","146","3971.8542371941126","3971.8542371941126","3971.8542371941126","146","146","146","3893.668334438954","3893.668334438954","3893.668334438954","146","146","146","3977.4594220153544","3977.4594220153544","3977.4594220153544","146","146","146","3928.8447088847834","3928.8447088847834","3928.8447088847834","146","146","146","4352.529234751413","4352.529234751413","4352.529234751413","146","146","146","4138.117782386122","4138.117782386122","4138.117782386122","146","146","146","4511.121399080779","4511.121399080779","4511.121399080779"
"10640000","147","147","147","3966.3082361697843","3966.3082361697843","3966.3082361697843","147","147","147","3917.8656479501224","3917.8656479501224","3917.8656479501224","147","147","147","4021.366657051533","4021.366657051533","4021.366657051533","147","147","147","3935.4436093006116","3935.4436093006116","3935.4436093006116","147","147","147","4267.646555340944","4267.646555340944","4267.646555340944","147","147","147","4154.918453570572","4154.918453570572","4154.918453570572","147","147","147","4477.930267287811","4477.930267287811","4477.930267287811"
"10720000","148","148","148","4018.286223424662","4018.286223424662","4018.286223424662","148","148","148","4001.2176041830803","4001.2176041830803","4001.2176041830803","148","148","148","4000.672472228251","4000.672472228251","4000.672472228251","148","148","148","3918.332096871514","3918.332096871514","3918.332096871514","148","148","148","4342.726997054515","4342.726997054515","4342.726997054515","148","148","148","4084.9873068027273","4084.9873068027273","4084.9873068027273","148","148","148","4468.875625572077","4468.875625572077","4468.875625572077"
"10800000","149","149","149","4061.159598070498","4061.159598070498","4061.159598070498","149","149","149","3970.2398841085133","3970.2398841085133","3970.2398841085133","149","149","149","4040.4781840355668","4040.4781840355668","4040.4781840355668","149","149","149","4043.593035157076","4043.593035157076","4043.593035157076","149","149","149","4254.884236060536","4254.884236060536","4254.884236060536","149","149","149","4134.101642764712","4134.101642764712","4134.101642764712","149","149","149","4510.5234073171305","4510.5234073171305","4510.5234073171305"
"10880000","151","151","151","3943.85185494201","3943.85185494201","3943.85185494201","151","151","151","3843.9991952539976","3843.9991952539976","3843.9991952539976","151","151","151","3952.13049644064","3952.13049644064","3952.13049644064","151","151","151","3775.7291477450576","3775.7291477450576","3775.7291477450576","151","151","151","4328.275162557581","4328.275162557581","4328.275162557581","151","151","151","4138.220228848337","4138.220228848337","4138.220228848337","151","151","151","4480.571422236792","4480.571422236792","4480.571422236792"
